year,week,county,place,mean_change
2020,7,Pinal County,grocery and pharmacy,-5
2020,7,Pinal County,parks,21.25
2020,7,Pinal County,residential,1
2020,7,Pinal County,retail and recreation,17.75
2020,7,Pinal County,transit stations,7.5
2020,7,Pinal County,workplaces,-8
2020,7,Santa Cruz County,grocery and pharmacy,-6.25
2020,7,Santa Cruz County,parks,3.75
2020,7,Santa Cruz County,residential,1
2020,7,Santa Cruz County,retail and recreation,-1.5
2020,7,Santa Cruz County,transit stations,11.75
2020,7,Santa Cruz County,workplaces,-6.5
2020,7,Yavapai County,grocery and pharmacy,11.5
2020,7,Yavapai County,parks,36
2020,7,Yavapai County,residential,0.5
2020,7,Yavapai County,retail and recreation,10.25
2020,7,Yavapai County,transit stations,12
2020,7,Yavapai County,workplaces,-3.75
2020,7,Yuma County,grocery and pharmacy,0
2020,7,Yuma County,parks,16
2020,7,Yuma County,residential,0.75
2020,7,Yuma County,retail and recreation,4
2020,7,Yuma County,transit stations,1.25
2020,7,Yuma County,workplaces,-8.5
2020,8,Apache County,grocery and pharmacy,1.1428571428571428
2020,8,Apache County,parks,-2.857142857142857
2020,8,Apache County,residential,0.2
2020,8,Apache County,retail and recreation,-0.42857142857142855
2020,8,Apache County,transit stations,13.285714285714286
2020,8,Apache County,workplaces,-0.2857142857142857
2020,8,Cochise County,grocery and pharmacy,0.2857142857142857
2020,8,Cochise County,parks,9.285714285714286
2020,8,Cochise County,residential,0.2857142857142857
2020,8,Cochise County,retail and recreation,2.2857142857142856
2020,8,Cochise County,transit stations,0.8571428571428571
2020,8,Cochise County,workplaces,2.142857142857143
2020,8,Coconino County,grocery and pharmacy,5.714285714285714
2020,8,Coconino County,parks,17.857142857142858
2020,8,Coconino County,residential,-0.14285714285714285
2020,8,Coconino County,retail and recreation,4.714285714285714
2020,8,Coconino County,transit stations,4.285714285714286
2020,8,Coconino County,workplaces,3.2857142857142856
2020,8,Gila County,grocery and pharmacy,15.714285714285714
2020,8,Gila County,parks,14
2020,8,Gila County,residential,-0.2
2020,8,Gila County,retail and recreation,4
2020,8,Gila County,workplaces,-1.5714285714285714
2020,8,Graham County,grocery and pharmacy,10.142857142857142
2020,8,Graham County,parks,-63
2020,8,Graham County,residential,0
2020,8,Graham County,retail and recreation,5.285714285714286
2020,8,Graham County,workplaces,-0.14285714285714285
2020,8,Greenlee County,grocery and pharmacy,2
2020,8,Greenlee County,retail and recreation,7
2020,8,Greenlee County,workplaces,4
2020,8,La Paz County,grocery and pharmacy,-12.285714285714286
2020,8,La Paz County,parks,-15
2020,8,La Paz County,retail and recreation,-9.571428571428571
2020,8,La Paz County,transit stations,-5
2020,8,La Paz County,workplaces,-3.4285714285714284
2020,8,Maricopa County,grocery and pharmacy,-0.2857142857142857
2020,8,Maricopa County,parks,3.857142857142857
2020,8,Maricopa County,residential,0.2857142857142857
2020,8,Maricopa County,retail and recreation,4
2020,8,Maricopa County,transit stations,4.857142857142857
2020,8,Maricopa County,workplaces,1.1428571428571428
2020,8,Mohave County,grocery and pharmacy,0.8571428571428571
2020,8,Mohave County,parks,10.571428571428571
2020,8,Mohave County,residential,0.2857142857142857
2020,8,Mohave County,retail and recreation,3.142857142857143
2020,8,Mohave County,transit stations,4.571428571428571
2020,8,Mohave County,workplaces,0
2020,8,Navajo County,grocery and pharmacy,4.428571428571429
2020,8,Navajo County,parks,9.142857142857142
2020,8,Navajo County,residential,0.5714285714285714
2020,8,Navajo County,retail and recreation,1.7142857142857142
2020,8,Navajo County,transit stations,6.714285714285714
2020,8,Navajo County,workplaces,0.14285714285714285
2020,8,Pima County,grocery and pharmacy,4.142857142857143
2020,8,Pima County,parks,6
2020,8,Pima County,residential,0.7142857142857143
2020,8,Pima County,retail and recreation,1.2857142857142858
2020,8,Pima County,transit stations,0.5714285714285714
2020,8,Pima County,workplaces,-4.285714285714286
2020,8,Pinal County,grocery and pharmacy,-6.142857142857143
2020,8,Pinal County,parks,0
2020,8,Pinal County,residential,0.42857142857142855
2020,8,Pinal County,retail and recreation,11.571428571428571
2020,8,Pinal County,transit stations,8.571428571428571
2020,8,Pinal County,workplaces,0
2020,8,Santa Cruz County,grocery and pharmacy,-4
2020,8,Santa Cruz County,parks,6.571428571428571
2020,8,Santa Cruz County,residential,0.5
2020,8,Santa Cruz County,retail and recreation,0.5714285714285714
2020,8,Santa Cruz County,transit stations,14.285714285714286
2020,8,Santa Cruz County,workplaces,0.2857142857142857
2020,8,Yavapai County,grocery and pharmacy,8.285714285714286
2020,8,Yavapai County,parks,8
2020,8,Yavapai County,residential,0.42857142857142855
2020,8,Yavapai County,retail and recreation,3.7142857142857144
2020,8,Yavapai County,transit stations,7.428571428571429
2020,8,Yavapai County,workplaces,1.4285714285714286
2020,8,Yuma County,grocery and pharmacy,1.2857142857142858
2020,8,Yuma County,parks,20.571428571428573
2020,8,Yuma County,residential,0
2020,8,Yuma County,retail and recreation,3.4285714285714284
2020,8,Yuma County,transit stations,3.4285714285714284
2020,8,Yuma County,workplaces,-0.14285714285714285
2020,9,Apache County,grocery and pharmacy,13.714285714285714
2020,9,Apache County,parks,11
2020,9,Apache County,residential,-2.2
2020,9,Apache County,retail and recreation,15.714285714285714
2020,9,Apache County,transit stations,12.714285714285714
2020,9,Apache County,workplaces,1
2020,9,Cochise County,grocery and pharmacy,4
2020,9,Cochise County,parks,2.4285714285714284
2020,9,Cochise County,residential,-0.5714285714285714
2020,9,Cochise County,retail and recreation,6.714285714285714
2020,9,Cochise County,transit stations,4.142857142857143
2020,9,Cochise County,workplaces,4
2020,9,Coconino County,grocery and pharmacy,12
2020,9,Coconino County,parks,25.857142857142858
2020,9,Coconino County,residential,-1.8571428571428572
2020,9,Coconino County,retail and recreation,9.285714285714286
2020,9,Coconino County,transit stations,5.714285714285714
2020,9,Coconino County,workplaces,3.4285714285714284
2020,9,Gila County,grocery and pharmacy,26.142857142857142
2020,9,Gila County,parks,20.428571428571427
2020,9,Gila County,residential,-1.3333333333333333
2020,9,Gila County,retail and recreation,14.714285714285714
2020,9,Gila County,workplaces,0.7142857142857143
2020,9,Graham County,grocery and pharmacy,19.142857142857142
2020,9,Graham County,residential,-1
2020,9,Graham County,retail and recreation,14.571428571428571
2020,9,Graham County,workplaces,2.7142857142857144
2020,9,Greenlee County,grocery and pharmacy,5
2020,9,Greenlee County,retail and recreation,-12.5
2020,9,Greenlee County,workplaces,2.6
2020,9,La Paz County,grocery and pharmacy,-12
2020,9,La Paz County,parks,-11.428571428571429
2020,9,La Paz County,retail and recreation,-7.857142857142857
2020,9,La Paz County,transit stations,-6.571428571428571
2020,9,La Paz County,workplaces,-2.4285714285714284
2020,9,Maricopa County,grocery and pharmacy,3.2857142857142856
2020,9,Maricopa County,parks,15.857142857142858
2020,9,Maricopa County,residential,-1.1428571428571428
2020,9,Maricopa County,retail and recreation,8.142857142857142
2020,9,Maricopa County,transit stations,8
2020,9,Maricopa County,workplaces,2.7142857142857144
2020,9,Mohave County,grocery and pharmacy,8.285714285714286
2020,9,Mohave County,parks,-3
2020,9,Mohave County,residential,-0.8571428571428571
2020,9,Mohave County,retail and recreation,12.285714285714286
2020,9,Mohave County,transit stations,9
2020,9,Mohave County,workplaces,1.7142857142857142
2020,9,Navajo County,grocery and pharmacy,11.857142857142858
2020,9,Navajo County,parks,16.571428571428573
2020,9,Navajo County,residential,-2
2020,9,Navajo County,retail and recreation,14.571428571428571
2020,9,Navajo County,transit stations,9.285714285714286
2020,9,Navajo County,workplaces,-0.14285714285714285
2020,9,Pima County,grocery and pharmacy,12.571428571428571
2020,9,Pima County,parks,11.714285714285714
2020,9,Pima County,residential,-0.7142857142857143
2020,9,Pima County,retail and recreation,6.857142857142857
2020,9,Pima County,transit stations,1.1428571428571428
2020,9,Pima County,workplaces,1.5714285714285714
2020,9,Pinal County,grocery and pharmacy,-1
2020,9,Pinal County,parks,6.714285714285714
2020,9,Pinal County,residential,-1
2020,9,Pinal County,retail and recreation,22.428571428571427
2020,9,Pinal County,transit stations,10.285714285714286
2020,9,Pinal County,workplaces,1.1428571428571428
2020,9,Santa Cruz County,grocery and pharmacy,-3.5714285714285716
2020,9,Santa Cruz County,parks,10.571428571428571
2020,9,Santa Cruz County,residential,-0.8333333333333334
2020,9,Santa Cruz County,retail and recreation,2.5714285714285716
2020,9,Santa Cruz County,transit stations,18.428571428571427
2020,9,Santa Cruz County,workplaces,1.2857142857142858
2020,9,Yavapai County,grocery and pharmacy,13.857142857142858
2020,9,Yavapai County,parks,14.857142857142858
2020,9,Yavapai County,residential,-0.5714285714285714
2020,9,Yavapai County,retail and recreation,10.285714285714286
2020,9,Yavapai County,transit stations,8.571428571428571
2020,9,Yavapai County,workplaces,3.4285714285714284
2020,9,Yuma County,grocery and pharmacy,4.857142857142857
2020,9,Yuma County,parks,15.142857142857142
2020,9,Yuma County,residential,-0.8571428571428571
2020,9,Yuma County,retail and recreation,7.285714285714286
2020,9,Yuma County,transit stations,8
2020,9,Yuma County,workplaces,1
2020,10,Apache County,grocery and pharmacy,17
2020,10,Apache County,parks,37.714285714285715
2020,10,Apache County,residential,-1.4
2020,10,Apache County,retail and recreation,20.428571428571427
2020,10,Apache County,transit stations,22.428571428571427
2020,10,Apache County,workplaces,-0.42857142857142855
2020,10,Cochise County,grocery and pharmacy,3.5714285714285716
2020,10,Cochise County,parks,15.428571428571429
2020,10,Cochise County,residential,-0.7142857142857143
2020,10,Cochise County,retail and recreation,6.142857142857143
2020,10,Cochise County,transit stations,4
2020,10,Cochise County,workplaces,0.8571428571428571
2020,10,Coconino County,grocery and pharmacy,18.428571428571427
2020,10,Coconino County,parks,53.285714285714285
2020,10,Coconino County,residential,-1.4285714285714286
2020,10,Coconino County,retail and recreation,16.428571428571427
2020,10,Coconino County,transit stations,12
2020,10,Coconino County,workplaces,3.857142857142857
2020,10,Gila County,grocery and pharmacy,30.428571428571427
2020,10,Gila County,parks,47.714285714285715
2020,10,Gila County,residential,-1.3333333333333333
2020,10,Gila County,retail and recreation,16.142857142857142
2020,10,Gila County,workplaces,-1.4285714285714286
2020,10,Graham County,grocery and pharmacy,23.142857142857142
2020,10,Graham County,residential,-1.4
2020,10,Graham County,retail and recreation,13
2020,10,Graham County,workplaces,0.42857142857142855
2020,10,Greenlee County,grocery and pharmacy,0
2020,10,Greenlee County,retail and recreation,10
2020,10,Greenlee County,workplaces,-6.4
2020,10,La Paz County,grocery and pharmacy,-14
2020,10,La Paz County,parks,-16.571428571428573
2020,10,La Paz County,retail and recreation,-7.142857142857143
2020,10,La Paz County,transit stations,-0.14285714285714285
2020,10,La Paz County,workplaces,0
2020,10,Maricopa County,grocery and pharmacy,2.857142857142857
2020,10,Maricopa County,parks,17.571428571428573
2020,10,Maricopa County,residential,-0.2857142857142857
2020,10,Maricopa County,retail and recreation,6.571428571428571
2020,10,Maricopa County,transit stations,6.142857142857143
2020,10,Maricopa County,workplaces,-1.4285714285714286
2020,10,Mohave County,grocery and pharmacy,7.857142857142857
2020,10,Mohave County,parks,25
2020,10,Mohave County,residential,-0.5714285714285714
2020,10,Mohave County,retail and recreation,9.714285714285714
2020,10,Mohave County,transit stations,10.142857142857142
2020,10,Mohave County,workplaces,-1
2020,10,Navajo County,grocery and pharmacy,15.428571428571429
2020,10,Navajo County,parks,35
2020,10,Navajo County,residential,-2.2857142857142856
2020,10,Navajo County,retail and recreation,14.714285714285714
2020,10,Navajo County,transit stations,15.142857142857142
2020,10,Navajo County,workplaces,0.2857142857142857
2020,10,Pima County,grocery and pharmacy,11
2020,10,Pima County,parks,18.571428571428573
2020,10,Pima County,residential,-0.8571428571428571
2020,10,Pima County,retail and recreation,5.571428571428571
2020,10,Pima County,transit stations,0
2020,10,Pima County,workplaces,0.42857142857142855
2020,10,Pinal County,grocery and pharmacy,-0.8571428571428571
2020,10,Pinal County,parks,22
2020,10,Pinal County,residential,-0.7142857142857143
2020,10,Pinal County,retail and recreation,18.571428571428573
2020,10,Pinal County,transit stations,10.285714285714286
2020,10,Pinal County,workplaces,-2.142857142857143
2020,10,Santa Cruz County,grocery and pharmacy,-1.4285714285714286
2020,10,Santa Cruz County,parks,14.857142857142858
2020,10,Santa Cruz County,residential,-1.1666666666666667
2020,10,Santa Cruz County,retail and recreation,3.2857142857142856
2020,10,Santa Cruz County,transit stations,15.714285714285714
2020,10,Santa Cruz County,workplaces,-3.5714285714285716
2020,10,Yavapai County,grocery and pharmacy,14.285714285714286
2020,10,Yavapai County,parks,30.714285714285715
2020,10,Yavapai County,residential,-0.5714285714285714
2020,10,Yavapai County,retail and recreation,9.428571428571429
2020,10,Yavapai County,transit stations,10.142857142857142
2020,10,Yavapai County,workplaces,-2.142857142857143
2020,10,Yuma County,grocery and pharmacy,5.285714285714286
2020,10,Yuma County,parks,13
2020,10,Yuma County,residential,-0.8571428571428571
2020,10,Yuma County,retail and recreation,6.571428571428571
2020,10,Yuma County,transit stations,10.571428571428571
2020,10,Yuma County,workplaces,1
2020,11,Apache County,grocery and pharmacy,28.142857142857142
2020,11,Apache County,parks,49.833333333333336
2020,11,Apache County,residential,2.4
2020,11,Apache County,retail and recreation,8.571428571428571
2020,11,Apache County,transit stations,23.857142857142858
2020,11,Apache County,workplaces,-12.142857142857142
2020,11,Cochise County,grocery and pharmacy,15.571428571428571
2020,11,Cochise County,parks,18.714285714285715
2020,11,Cochise County,residential,1
2020,11,Cochise County,retail and recreation,4.428571428571429
2020,11,Cochise County,transit stations,4.142857142857143
2020,11,Cochise County,workplaces,-7.285714285714286
2020,11,Coconino County,grocery and pharmacy,34
2020,11,Coconino County,parks,53
2020,11,Coconino County,residential,1.2857142857142858
2020,11,Coconino County,retail and recreation,12.142857142857142
2020,11,Coconino County,transit stations,12.857142857142858
2020,11,Coconino County,workplaces,-7.285714285714286
2020,11,Gila County,grocery and pharmacy,37
2020,11,Gila County,parks,37
2020,11,Gila County,residential,2.2
2020,11,Gila County,retail and recreation,12.428571428571429
2020,11,Gila County,workplaces,-9.428571428571429
2020,11,Graham County,grocery and pharmacy,32.285714285714285
2020,11,Graham County,residential,1.6
2020,11,Graham County,retail and recreation,1.8571428571428572
2020,11,Graham County,workplaces,-9.714285714285714
2020,11,Greenlee County,grocery and pharmacy,14
2020,11,Greenlee County,retail and recreation,-12.6
2020,11,Greenlee County,workplaces,-17.2
2020,11,La Paz County,grocery and pharmacy,-6.857142857142857
2020,11,La Paz County,parks,-29
2020,11,La Paz County,retail and recreation,-14.857142857142858
2020,11,La Paz County,transit stations,-0.2857142857142857
2020,11,La Paz County,workplaces,-5.428571428571429
2020,11,Maricopa County,grocery and pharmacy,15.714285714285714
2020,11,Maricopa County,parks,-8.428571428571429
2020,11,Maricopa County,residential,4.571428571428571
2020,11,Maricopa County,retail and recreation,-1.8571428571428572
2020,11,Maricopa County,transit stations,-8.428571428571429
2020,11,Maricopa County,workplaces,-13.142857142857142
2020,11,Mohave County,grocery and pharmacy,19
2020,11,Mohave County,parks,-12
2020,11,Mohave County,residential,1.7142857142857142
2020,11,Mohave County,retail and recreation,4.857142857142857
2020,11,Mohave County,transit stations,7.857142857142857
2020,11,Mohave County,workplaces,-7.285714285714286
2020,11,Navajo County,grocery and pharmacy,27.428571428571427
2020,11,Navajo County,parks,27.285714285714285
2020,11,Navajo County,residential,0.5714285714285714
2020,11,Navajo County,retail and recreation,12
2020,11,Navajo County,transit stations,20.714285714285715
2020,11,Navajo County,workplaces,-9.285714285714286
2020,11,Pima County,grocery and pharmacy,19.857142857142858
2020,11,Pima County,parks,4
2020,11,Pima County,residential,2.5714285714285716
2020,11,Pima County,retail and recreation,-1.5714285714285714
2020,11,Pima County,transit stations,-10.571428571428571
2020,11,Pima County,workplaces,-9.714285714285714
2020,11,Pinal County,grocery and pharmacy,7.142857142857143
2020,11,Pinal County,parks,-2.5714285714285716
2020,11,Pinal County,residential,2.857142857142857
2020,11,Pinal County,retail and recreation,12
2020,11,Pinal County,transit stations,1.1428571428571428
2020,11,Pinal County,workplaces,-12.714285714285714
2020,11,Santa Cruz County,grocery and pharmacy,5
2020,11,Santa Cruz County,parks,16.285714285714285
2020,11,Santa Cruz County,residential,2.5
2020,11,Santa Cruz County,retail and recreation,0.5714285714285714
2020,11,Santa Cruz County,transit stations,12.857142857142858
2020,11,Santa Cruz County,workplaces,-12
2020,11,Yavapai County,grocery and pharmacy,23.714285714285715
2020,11,Yavapai County,parks,5.428571428571429
2020,11,Yavapai County,residential,2.7142857142857144
2020,11,Yavapai County,retail and recreation,1.4285714285714286
2020,11,Yavapai County,transit stations,7.571428571428571
2020,11,Yavapai County,workplaces,-10.571428571428571
2020,11,Yuma County,grocery and pharmacy,19.428571428571427
2020,11,Yuma County,parks,-8.857142857142858
2020,11,Yuma County,residential,1.5714285714285714
2020,11,Yuma County,retail and recreation,2.4285714285714284
2020,11,Yuma County,transit stations,5.714285714285714
2020,11,Yuma County,workplaces,-4.142857142857143
2020,12,Apache County,grocery and pharmacy,10.714285714285714
2020,12,Apache County,parks,5.571428571428571
2020,12,Apache County,residential,14
2020,12,Apache County,retail and recreation,-27.428571428571427
2020,12,Apache County,transit stations,8
2020,12,Apache County,workplaces,-33.714285714285715
2020,12,Cochise County,grocery and pharmacy,-3.7142857142857144
2020,12,Cochise County,parks,-8.857142857142858
2020,12,Cochise County,residential,8.142857142857142
2020,12,Cochise County,retail and recreation,-25.428571428571427
2020,12,Cochise County,transit stations,-9.571428571428571
2020,12,Cochise County,workplaces,-23.428571428571427
2020,12,Coconino County,grocery and pharmacy,-1.8571428571428572
2020,12,Coconino County,parks,-9.857142857142858
2020,12,Coconino County,residential,13.571428571428571
2020,12,Coconino County,retail and recreation,-40.142857142857146
2020,12,Coconino County,transit stations,-18.142857142857142
2020,12,Coconino County,workplaces,-35.857142857142854
2020,12,Gila County,grocery and pharmacy,24.142857142857142
2020,12,Gila County,parks,47.142857142857146
2020,12,Gila County,residential,7.8
2020,12,Gila County,retail and recreation,-10.428571428571429
2020,12,Gila County,workplaces,-23.857142857142858
2020,12,Graham County,grocery and pharmacy,23.142857142857142
2020,12,Graham County,residential,8.75
2020,12,Graham County,retail and recreation,-19.285714285714285
2020,12,Graham County,workplaces,-26.857142857142858
2020,12,Greenlee County,grocery and pharmacy,0.2857142857142857
2020,12,Greenlee County,retail and recreation,-56.2
2020,12,Greenlee County,workplaces,-26.6
2020,12,La Paz County,grocery and pharmacy,-21
2020,12,La Paz County,parks,-42.57142857142857
2020,12,La Paz County,retail and recreation,-41.285714285714285
2020,12,La Paz County,transit stations,-25.428571428571427
2020,12,La Paz County,workplaces,-13.571428571428571
2020,12,Maricopa County,grocery and pharmacy,-2.142857142857143
2020,12,Maricopa County,parks,-7
2020,12,Maricopa County,residential,13.142857142857142
2020,12,Maricopa County,retail and recreation,-30.428571428571427
2020,12,Maricopa County,transit stations,-30.857142857142858
2020,12,Maricopa County,workplaces,-33.42857142857143
2020,12,Mohave County,grocery and pharmacy,5.857142857142857
2020,12,Mohave County,parks,-21.285714285714285
2020,12,Mohave County,residential,7.571428571428571
2020,12,Mohave County,retail and recreation,-21
2020,12,Mohave County,transit stations,-8.428571428571429
2020,12,Mohave County,workplaces,-24.714285714285715
2020,12,Navajo County,grocery and pharmacy,9
2020,12,Navajo County,parks,5.428571428571429
2020,12,Navajo County,residential,9.285714285714286
2020,12,Navajo County,retail and recreation,-20.857142857142858
2020,12,Navajo County,transit stations,12
2020,12,Navajo County,workplaces,-29.428571428571427
2020,12,Pima County,grocery and pharmacy,0.5714285714285714
2020,12,Pima County,parks,-12.428571428571429
2020,12,Pima County,residential,12
2020,12,Pima County,retail and recreation,-32.142857142857146
2020,12,Pima County,transit stations,-31.285714285714285
2020,12,Pima County,workplaces,-32.285714285714285
2020,12,Pinal County,grocery and pharmacy,-7.428571428571429
2020,12,Pinal County,parks,-6
2020,12,Pinal County,residential,10.285714285714286
2020,12,Pinal County,retail and recreation,-19.428571428571427
2020,12,Pinal County,transit stations,-9.857142857142858
2020,12,Pinal County,workplaces,-29.857142857142858
2020,12,Santa Cruz County,grocery and pharmacy,-25.428571428571427
2020,12,Santa Cruz County,parks,-22.285714285714285
2020,12,Santa Cruz County,residential,12.2
2020,12,Santa Cruz County,retail and recreation,-37.285714285714285
2020,12,Santa Cruz County,transit stations,-6.714285714285714
2020,12,Santa Cruz County,workplaces,-24.714285714285715
2020,12,Yavapai County,grocery and pharmacy,4.428571428571429
2020,12,Yavapai County,parks,-14.857142857142858
2020,12,Yavapai County,residential,9.142857142857142
2020,12,Yavapai County,retail and recreation,-30.571428571428573
2020,12,Yavapai County,transit stations,-13.571428571428571
2020,12,Yavapai County,workplaces,-27.142857142857142
2020,12,Yuma County,grocery and pharmacy,-1.5714285714285714
2020,12,Yuma County,parks,-27.857142857142858
2020,12,Yuma County,residential,8.857142857142858
2020,12,Yuma County,retail and recreation,-29.142857142857142
2020,12,Yuma County,transit stations,-24
2020,12,Yuma County,workplaces,-22.285714285714285
2020,13,Apache County,grocery and pharmacy,-2.857142857142857
2020,13,Apache County,parks,-31.571428571428573
2020,13,Apache County,residential,17
2020,13,Apache County,retail and recreation,-42.142857142857146
2020,13,Apache County,transit stations,-8.857142857142858
2020,13,Apache County,workplaces,-38.42857142857143
2020,13,Cochise County,grocery and pharmacy,-15.714285714285714
2020,13,Cochise County,parks,-16.714285714285715
2020,13,Cochise County,residential,10.571428571428571
2020,13,Cochise County,retail and recreation,-33.285714285714285
2020,13,Cochise County,transit stations,-22.857142857142858
2020,13,Cochise County,workplaces,-30.571428571428573
2020,13,Coconino County,grocery and pharmacy,-14.285714285714286
2020,13,Coconino County,parks,-23.571428571428573
2020,13,Coconino County,residential,16.142857142857142
2020,13,Coconino County,retail and recreation,-47.142857142857146
2020,13,Coconino County,transit stations,-28.142857142857142
2020,13,Coconino County,workplaces,-42.857142857142854
2020,13,Gila County,grocery and pharmacy,12.857142857142858
2020,13,Gila County,parks,45.857142857142854
2020,13,Gila County,residential,9
2020,13,Gila County,retail and recreation,-19.857142857142858
2020,13,Gila County,workplaces,-27.428571428571427
2020,13,Graham County,grocery and pharmacy,11.857142857142858
2020,13,Graham County,residential,10.25
2020,13,Graham County,retail and recreation,-23.571428571428573
2020,13,Graham County,workplaces,-27.142857142857142
2020,13,Greenlee County,grocery and pharmacy,-7.857142857142857
2020,13,Greenlee County,retail and recreation,-58.4
2020,13,Greenlee County,workplaces,-28
2020,13,La Paz County,grocery and pharmacy,-31.857142857142858
2020,13,La Paz County,parks,-47.42857142857143
2020,13,La Paz County,retail and recreation,-55
2020,13,La Paz County,transit stations,-37.285714285714285
2020,13,La Paz County,workplaces,-22
2020,13,Maricopa County,grocery and pharmacy,-12.857142857142858
2020,13,Maricopa County,parks,-9.571428571428571
2020,13,Maricopa County,residential,15.714285714285714
2020,13,Maricopa County,retail and recreation,-35.285714285714285
2020,13,Maricopa County,transit stations,-39.714285714285715
2020,13,Maricopa County,workplaces,-40.57142857142857
2020,13,Mohave County,grocery and pharmacy,-8.142857142857142
2020,13,Mohave County,parks,-15.428571428571429
2020,13,Mohave County,residential,9.714285714285714
2020,13,Mohave County,retail and recreation,-31.714285714285715
2020,13,Mohave County,transit stations,-19
2020,13,Mohave County,workplaces,-32.57142857142857
2020,13,Navajo County,grocery and pharmacy,-4
2020,13,Navajo County,parks,0.7142857142857143
2020,13,Navajo County,residential,11.857142857142858
2020,13,Navajo County,retail and recreation,-26.142857142857142
2020,13,Navajo County,transit stations,-4.428571428571429
2020,13,Navajo County,workplaces,-32.42857142857143
2020,13,Pima County,grocery and pharmacy,-11.285714285714286
2020,13,Pima County,parks,-17.857142857142858
2020,13,Pima County,residential,14.571428571428571
2020,13,Pima County,retail and recreation,-37.714285714285715
2020,13,Pima County,transit stations,-39.42857142857143
2020,13,Pima County,workplaces,-39.57142857142857
2020,13,Pinal County,grocery and pharmacy,-18.571428571428573
2020,13,Pinal County,parks,-14.285714285714286
2020,13,Pinal County,residential,12.142857142857142
2020,13,Pinal County,retail and recreation,-26.714285714285715
2020,13,Pinal County,transit stations,-21.714285714285715
2020,13,Pinal County,workplaces,-36
2020,13,Santa Cruz County,grocery and pharmacy,-37.142857142857146
2020,13,Santa Cruz County,parks,-34.857142857142854
2020,13,Santa Cruz County,residential,15.2
2020,13,Santa Cruz County,retail and recreation,-50
2020,13,Santa Cruz County,transit stations,-22.571428571428573
2020,13,Santa Cruz County,workplaces,-32.42857142857143
2020,13,Yavapai County,grocery and pharmacy,-9
2020,13,Yavapai County,parks,-11.142857142857142
2020,13,Yavapai County,residential,10.428571428571429
2020,13,Yavapai County,retail and recreation,-35.857142857142854
2020,13,Yavapai County,transit stations,-22.714285714285715
2020,13,Yavapai County,workplaces,-34.142857142857146
2020,13,Yuma County,grocery and pharmacy,-16.142857142857142
2020,13,Yuma County,parks,-31.285714285714285
2020,13,Yuma County,residential,11.714285714285714
2020,13,Yuma County,retail and recreation,-39
2020,13,Yuma County,transit stations,-40.42857142857143
2020,13,Yuma County,workplaces,-30.571428571428573
2020,14,Apache County,grocery and pharmacy,-0.42857142857142855
2020,14,Apache County,parks,-26.714285714285715
2020,14,Apache County,residential,16.4
2020,14,Apache County,retail and recreation,-36.666666666666664
2020,14,Apache County,transit stations,-13.428571428571429
2020,14,Apache County,workplaces,-40.285714285714285
2020,14,Cochise County,grocery and pharmacy,-18.285714285714285
