year,name,sex,count
1884,Paul,M,422
1884,Ed,M,314
1884,Alexander,M,236
1884,Alex,M,148
1884,Nicholas,M,69
1884,Christian,M,54
1884,Nick,M,48
1884,Spencer,M,32
1884,Tim,M,16
1884,Orlando,M,12
1884,Ethan,M,10
1884,Alan,M,9
1884,Nolan,M,7
1884,Justin,M,6
1884,Sarah,M,6
1884,Gary,M,5
1885,Sarah,F,1424
1885,Elsie,F,685
1885,Sara,F,215
1885,Lee,F,46
1885,Tina,F,32
1885,Thomas,F,9
1885,Paul,F,6
1885,Edward,F,5
1885,Thomas,M,2266
1885,Edward,M,2220
1885,Daniel,M,535
1885,Paul,M,428
1885,Lee,M,348
1885,Ed,M,328
1885,Alexander,M,205
1885,Alex,M,159
1885,Nicholas,M,66
1885,Christian,M,55
1885,Nick,M,38
1885,Spencer,M,23
1885,Orlando,M,16
1885,Tim,M,16
1885,Alan,M,10
1885,Justin,M,9
1885,Gary,M,7
1885,Sarah,M,7
1885,Elsie,M,5
1886,Sarah,F,1569
1886,Elsie,F,698
1886,Sara,F,247
1886,Lee,F,37
1886,Tina,F,32
1886,Edward,F,11
1886,Thomas,F,8
1886,Paul,F,6
1886,Christian,F,5
1886,Thomas,M,2337
1886,Edward,M,2312
1886,Daniel,M,555
1886,Paul,M,466
1886,Lee,M,399
1886,Ed,M,303
1886,Alexander,M,206
1886,Alex,M,161
1886,Nicholas,M,85
1886,Nick,M,47
1886,Christian,M,33
1886,Spencer,M,29
1886,Tim,M,14
1886,Orlando,M,13
1886,Justin,M,8
1886,Gary,M,7
1886,Elsie,M,6
1886,Ethan,M,6
1886,Sarah,M,6
1886,Alan,M,5
1886,Nolan,M,5
1887,Sarah,F,1436
1887,Elsie,F,833
1887,Sara,F,214
1887,Lee,F,60
1887,Tina,F,25
1887,Edward,F,11
1887,Thomas,F,7
1887,Thomas,M,2151
1887,Edward,M,2125
1887,Daniel,M,556
1887,Paul,M,449
1887,Lee,M,400
1887,Ed,M,275
1887,Alexander,M,180
1887,Alex,M,136
1887,Nicholas,M,79
1887,Christian,M,47
1887,Spencer,M,41
1887,Nick,M,29
1887,Tim,M,18
1887,Orlando,M,11
1887,Nolan,M,9
1887,Ethan,M,7
1887,Gary,M,7
1887,Alan,M,5
1888,Sarah,F,1755
1888,Elsie,F,1112
1888,Sara,F,293
1888,Lee,F,61
1888,Tina,F,40
1888,Thomas,F,14
1888,Edward,F,9
1888,Adriana,F,5
1888,Edward,M,2470
1888,Thomas,M,2449
1888,Daniel,M,566
1888,Paul,M,529
1888,Lee,M,430
1888,Ed,M,301
1888,Alexander,M,237
1888,Alex,M,167
1888,Nicholas,M,97
1888,Christian,M,51
1888,Nick,M,48
1888,Spencer,M,38
1888,Orlando,M,14
1888,Tim,M,10
1888,Justin,M,9
1888,Elsie,M,7
1888,Alan,M,6
1888,Gary,M,6
1889,Sarah,F,1730
1889,Elsie,F,1199
1889,Sara,F,286
1889,Lee,F,77
1889,Tina,F,40
1889,Edward,F,12
1889,Thomas,F,12
1889,Christian,F,6
1889,Edward,M,2299
1889,Thomas,M,2233
1889,Paul,M,556
1889,Daniel,M,515
1889,Lee,M,415
1889,Ed,M,270
1889,Alexander,M,185
1889,Alex,M,127
1889,Nicholas,M,68
1889,Christian,M,51
1889,Nick,M,34
1889,Spencer,M,28
1889,Tim,M,14
1889,Orlando,M,12
1889,Alan,M,10
1889,Justin,M,8
1889,Elsie,M,5
1889,Nolan,M,5
1889,Sarah,M,5
1890,Sarah,F,1786
1890,Elsie,F,1220
1890,Sara,F,262
1890,Lee,F,58
1890,Tina,F,39
1890,Edward,F,13
1890,Thomas,F,9
1890,Christian,F,5
1890,Paul,F,5
1890,Edward,M,2282
1890,Thomas,M,2200
1890,Paul,M,607
1890,Daniel,M,505
1890,Lee,M,410
1890,Ed,M,262
1890,Alexander,M,202
1890,Alex,M,147
1890,Nicholas,M,78
1890,Christian,M,49
1890,Nick,M,45
1890,Spencer,M,30
1890,Tim,M,17
1890,Justin,M,13
1890,Alan,M,12
1890,Gary,M,11
1890,Elsie,M,8
1890,Orlando,M,6
1890,Sarah,M,5
1891,Sarah,F,1669
1891,Elsie,F,1303
1891,Sara,F,260
1891,Lee,F,68
1891,Tina,F,31
1891,Thomas,F,13
1891,Edward,F,6
1891,Edward,M,1989
1891,Thomas,M,1982
1891,Paul,M,564
1891,Daniel,M,505
1891,Lee,M,342
1891,Ed,M,237
1891,Alexander,M,172
1891,Alex,M,133
1891,Nicholas,M,78
1891,Nick,M,40
1891,Christian,M,34
1891,Spencer,M,33
1891,Tim,M,15
1891,Orlando,M,11
1891,Alan,M,9
1891,Elsie,M,8
1891,Justin,M,8
1891,Ethan,M,6
1891,Gary,M,6
1892,Sarah,F,1798
1892,Elsie,F,1489
1892,Sara,F,276
1892,Lee,F,68
1892,Tina,F,35
1892,Thomas,F,16
1892,Edward,F,9
1892,Ed,F,5
1892,Paul,F,5
1892,Edward,M,2416
1892,Thomas,M,2413
1892,Paul,M,747
1892,Daniel,M,533
1892,Lee,M,460
1892,Ed,M,306
1892,Alexander,M,202
1892,Alex,M,163
1892,Nicholas,M,95
1892,Christian,M,42
1892,Nick,M,37
1892,Spencer,M,33
1892,Alan,M,17
1892,Gary,M,15
1892,Orlando,M,15
1892,Tim,M,12
1892,Nolan,M,10
1892,Elsie,M,9
1892,Justin,M,7
1892,Sarah,M,6
1893,Sarah,F,1632
1893,Elsie,F,1586
1893,Sara,F,290
1893,Lee,F,66
1893,Tina,F,46
1893,Thomas,F,16
1893,Edward,F,10
1893,Paul,F,8
1893,Edward,M,2309
1893,Thomas,M,2157
1893,Paul,M,743
1893,Daniel,M,522
1893,Lee,M,445
1893,Ed,M,225
1893,Alexander,M,218
1893,Alex,M,133
1893,Nicholas,M,89
1893,Christian,M,39
1893,Nick,M,22
1893,Spencer,M,21
1893,Tim,M,19
1893,Justin,M,14
1893,Alan,M,12
1893,Orlando,M,11
1893,Elsie,M,10
1893,Ethan,M,9
1893,Nolan,M,9
1893,Gary,M,7
1893,Sarah,M,6
1894,Elsie,F,1716
1894,Sarah,F,1701
1894,Sara,F,304
1894,Lee,F,83
1894,Tina,F,42
1894,Edward,F,13
1894,Thomas,F,9
1894,Paul,F,5
1894,Edward,M,2179
1894,Thomas,M,2170
1894,Paul,M,824
1894,Daniel,M,515
1894,Lee,M,455
1894,Ed,M,241
1894,Alexander,M,199
1894,Alex,M,152
1894,Nicholas,M,77
1894,Christian,M,40
1894,Nick,M,38
1894,Spencer,M,27
1894,Justin,M,15
1894,Orlando,M,14
1894,Nolan,M,12
1894,Alan,M,11
1894,Gary,M,10
1894,Sarah,M,10
1894,Elsie,M,9
1894,Tim,M,8
1895,Elsie,F,1795
1895,Sarah,F,1777
1895,Sara,F,363
1895,Lee,F,98
1895,Tina,F,45
1895,Thomas,F,14
1895,Edward,F,13
1895,Paul,F,8
1895,Edward,M,2203
1895,Thomas,M,2153
1895,Paul,M,933
1895,Daniel,M,516
1895,Lee,M,478
1895,Ed,M,229
1895,Alexander,M,199
1895,Alex,M,143
1895,Nicholas,M,84
1895,Christian,M,53
1895,Spencer,M,35
1895,Nick,M,29
1895,Alan,M,21
1895,Tim,M,15
1895,Orlando,M,13
1895,Gary,M,12
1895,Elsie,M,9
1895,Nolan,M,8
1895,Sarah,M,8
1895,Justin,M,6
1896,Elsie,F,1878
1896,Sarah,F,1691
1896,Sara,F,326
1896,Lee,F,73
1896,Tina,F,51
1896,Thomas,F,11
1896,Edward,F,9
1896,Paul,F,6
1896,Edward,M,2296
1896,Thomas,M,2088
1896,Paul,M,964
1896,Daniel,M,561
1896,Lee,M,455
1896,Ed,M,246
1896,Alexander,M,232
1896,Alex,M,165
1896,Nicholas,M,106
1896,Christian,M,36
1896,Nick,M,31
1896,Spencer,M,28
1896,Justin,M,17
1896,Tim,M,14
1896,Alan,M,13
1896,Gary,M,13
1896,Ethan,M,9
1896,Nolan,M,9
1896,Elsie,M,6
1896,Orlando,M,5
1896,Sarah,M,5
1897,Elsie,F,1763
1897,Sarah,F,1713
1897,Sara,F,353
1897,Lee,F,97
1897,Tina,F,51
1897,Thomas,F,16
1897,Edward,F,10
1897,Paul,F,5
1897,Edward,M,2121
1897,Thomas,M,1980
1897,Paul,M,923
1897,Daniel,M,520
1897,Lee,M,453
1897,Ed,M,198
1897,Alexander,M,172
1897,Alex,M,130
1897,Nicholas,M,87
1897,Christian,M,39
1897,Nick,M,39
1897,Spencer,M,23
1897,Alan,M,19
1897,Gary,M,13
1897,Justin,M,13
1897,Nolan,M,12
1897,Orlando,M,10
1897,Sarah,M,9
1897,Elsie,M,7
1897,Tim,M,7
1898,Elsie,F,1919
1898,Sarah,F,1800
1898,Sara,F,362
1898,Lee,F,111
1898,Tina,F,49
1898,Thomas,F,11
1898,Edward,F,9
1898,Paul,F,9
1898,Christian,F,5
1898,Edward,M,2337
1898,Thomas,M,2161
1898,Paul,M,991
1898,Daniel,M,523
1898,Lee,M,498
1898,Ed,M,228
1898,Alexander,M,180
1898,Alex,M,149
1898,Nicholas,M,94
1898,Spencer,M,40
1898,Nick,M,37
1898,Christian,M,30
1898,Justin,M,15
1898,Alan,M,14
1898,Tim,M,12
1898,Orlando,M,9
1898,Ethan,M,7
1898,Gary,M,7
1898,Dane,M,5
1898,Elsie,M,5
1898,Nolan,M,5
1898,Sarah,M,5
1899,Elsie,F,1706
1899,Sarah,F,1587
1899,Sara,F,323
1899,Lee,F,94
1899,Tina,F,42
1899,Edward,F,9
1899,Thomas,F,8
1899,Paul,F,6
1899,Ed,F,5
1899,Edward,M,1901
1899,Thomas,M,1811
1899,Paul,M,885
1899,Daniel,M,485
1899,Lee,M,388
1899,Alexander,M,178
1899,Ed,M,174
1899,Alex,M,133
1899,Nicholas,M,69
1899,Christian,M,42
1899,Spencer,M,39
1899,Nick,M,28
1899,Alan,M,16
1899,Tim,M,13
1899,Sarah,M,11
1899,Elsie,M,10
1899,Nolan,M,10
1899,Orlando,M,10
1899,Justin,M,9
1899,Gary,M,8
1900,Sarah,F,2054
1900,Elsie,F,2045
1900,Sara,F,375
1900,Lee,F,138
1900,Tina,F,53
1900,Thomas,F,16
1900,Paul,F,9
1900,Edward,F,8
1900,Daniel,F,7
1900,Edward,M,2720
1900,Thomas,M,2557
1900,Paul,M,1288
1900,Lee,M,675
1900,Daniel,M,598
1900,Ed,M,297
1900,Alexander,M,260
1900,Alex,M,192
1900,Nicholas,M,95
1900,Nick,M,49
1900,Spencer,M,44
1900,Christian,M,35
1900,Alan,M,27
1900,Tim,M,22
1900,Justin,M,18
1900,Nolan,M,16
1900,Elsie,M,15
1900,Orlando,M,15
1900,Gary,M,9
1900,Sarah,M,5
1901,Elsie,F,1747
1901,Sarah,F,1514
1901,Sara,F,315
1901,Lee,F,95
1901,Tina,F,47
1901,Thomas,F,12
1901,Paul,F,6
1901,Edward,M,1917
1901,Thomas,M,1820
1901,Paul,M,924
1901,Lee,M,424
1901,Daniel,M,416
1901,Alexander,M,162
1901,Ed,M,162
1901,Alex,M,138
1901,Nicholas,M,88
1901,Nick,M,40
1901,Christian,M,38
1901,Spencer,M,30
1901,Alan,M,20
1901,Nolan,M,11
1901,Elsie,M,10
1901,Gary,M,10
1901,Orlando,M,9
1901,Justin,M,8
1901,Tim,M,8
1901,Ethan,M,6
1901,Sarah,M,5
1902,Elsie,F,1720
1902,Sarah,F,1710
1902,Sara,F,335
1902,Lee,F,134
1902,Tina,F,44
1902,Thomas,F,16
1902,Paul,F,13
1902,Edward,F,12
1902,Adriana,F,6
1902,Edward,M,2294
1902,Thomas,M,2134
1902,Paul,M,1067
1902,Daniel,M,501
1902,Lee,M,475
1902,Alexander,M,216
1902,Ed,M,175
1902,Alex,M,154
1902,Nicholas,M,112
1902,Nick,M,37
1902,Christian,M,33
1902,Spencer,M,32
1902,Alan,M,27
1902,Gary,M,18
1902,Tim,M,18
1902,Nolan,M,15
1902,Elsie,M,14
1902,Orlando,M,10
1902,Justin,M,9
1902,Sarah,M,5
1903,Elsie,F,1720
1903,Sarah,F,1553
1903,Sara,F,333
1903,Lee,F,110
1903,Tina,F,44
1903,Edward,F,10
1903,Thomas,F,9
1903,Paul,F,8
1903,Edward,M,2268
1903,Thomas,M,1962
1903,Paul,M,1081
1903,Lee,M,477
1903,Daniel,M,432
1903,Alexander,M,195
1903,Ed,M,168
1903,Alex,M,138
1903,Nicholas,M,90
1903,Nick,M,46
1903,Christian,M,36
1903,Spencer,M,28
1903,Alan,M,25
1903,Tim,M,25
1903,Elsie,M,12
1903,Justin,M,12
1903,Nolan,M,10
1903,Gary,M,8
1903,Orlando,M,8
1903,Sarah,M,5
1904,Elsie,F,1719
1904,Sarah,F,1594
1904,Sara,F,359
1904,Lee,F,139
1904,Tina,F,56
1904,Thomas,F,16
1904,Paul,F,8
1904,Edward,F,7
1904,Adriana,F,5
1904,Edward,M,2335
1904,Thomas,M,2057
1904,Paul,M,1194
1904,Lee,M,532
1904,Daniel,M,472
1904,Alexander,M,203
1904,Ed,M,184
1904,Alex,M,169
1904,Nicholas,M,102
1904,Nick,M,57
1904,Spencer,M,44
1904,Christian,M,30
1904,Alan,M,29
1904,Nolan,M,18
1904,Justin,M,16
1904,Tim,M,14
1904,Elsie,M,12
1904,Gary,M,11
1904,Orlando,M,9
1904,Sarah,M,7
1905,Elsie,F,1811
1905,Sarah,F,1762
1905,Sara,F,437
1905,Lee,F,165
1905,Tina,F,58
1905,Thomas,F,18
1905,Edward,F,11
1905,Paul,F,6
1905,Daniel,F,5
1905,Edward,M,2366
1905,Thomas,M,2135
1905,Paul,M,1262
1905,Lee,M,486
1905,Daniel,M,484
1905,Alexander,M,210
1905,Ed,M,190
1905,Alex,M,166
1905,Nicholas,M,112
1905,Nick,M,52
1905,Spencer,M,38
1905,Christian,M,26
1905,Alan,M,23
1905,Tim,M,19
1905,Nolan,M,17
1905,Gary,M,16
1905,Justin,M,15
1905,Orlando,M,10
1905,Sarah,M,5
1906,Elsie,F,1771
1906,Sarah,F,1697
1906,Sara,F,457
1906,Lee,F,150
1906,Tina,F,49
1906,Thomas,F,13
1906,Edward,F,9
1906,Paul,F,8
1906,Edward,M,2398
1906,Thomas,M,2176
1906,Paul,M,1309
1906,Daniel,M,506
1906,Lee,M,436
1906,Alexander,M,204
1906,Alex,M,176
1906,Ed,M,149
1906,Nicholas,M,144
1906,Nick,M,67
1906,Christian,M,33
1906,Spencer,M,29
1906,Alan,M,28
1906,Nolan,M,20
1906,Orlando,M,17
1906,Gary,M,16
1906,Tim,M,15
1906,Justin,M,14
1906,Elsie,M,11
1907,Elsie,F,1872
1907,Sarah,F,1799
1907,Sara,F,494
1907,Lee,F,192
1907,Tina,F,55
1907,Paul,F,13
1907,Thomas,F,12
1907,Edward,F,9
1907,Edward,M,2576
1907,Thomas,M,2174
1907,Paul,M,1358
1907,Daniel,M,528
1907,Lee,M,516
1907,Alexander,M,279
1907,Alex,M,186
1907,Ed,M,178
1907,Nicholas,M,161
1907,Nick,M,77
1907,Spencer,M,41
1907,Alan,M,38
1907,Christian,M,32
1907,Nolan,M,23
1907,Tim,M,19
1907,Orlando,M,18
1907,Gary,M,16
1907,Justin,M,15
1907,Elsie,M,10
1908,Elsie,F,1983
1908,Sarah,F,1814
1908,Sara,F,546
1908,Lee,F,197
1908,Tina,F,41
1908,Thomas,F,22
1908,Paul,F,9
1908,Edward,F,7
1908,Edward,M,2707
1908,Thomas,M,2301
1908,Paul,M,1478
1908,Lee,M,553
1908,Daniel,M,530
1908,Alexander,M,246
1908,Nicholas,M,226
1908,Alex,M,199
1908,Ed,M,152
1908,Nick,M,84
1908,Spencer,M,61
1908,Alan,M,31
1908,Christian,M,29
1908,Gary,M,27
1908,Tim,M,21
1908,Justin,M,18
1908,Orlando,M,18
1908,Nolan,M,16
1908,Elsie,M,7
1908,Dane,M,6
1908,Ethan,M,5
1908,Sara,M,5
1909,Elsie,F,2064
1909,Sarah,F,1845
1909,Sara,F,559
1909,Lee,F,196
1909,Tina,F,52
1909,Paul,F,13
1909,Edward,F,12
1909,Thomas,F,12
1909,Alexander,F,5
1909,Edward,M,2935
1909,Thomas,M,2468
1909,Paul,M,1676
1909,Lee,M,584
1909,Daniel,M,569
1909,Alexander,M,255
1909,Alex,M,227
1909,Nicholas,M,204
1909,Ed,M,159
1909,Nick,M,79
1909,Spencer,M,49
1909,Alan,M,45
1909,Tim,M,30
1909,Christian,M,29
1909,Nolan,M,28
1909,Orlando,M,16
1909,Justin,M,14
1909,Elsie,M,12
1909,Gary,M,12
1909,Sarah,M,11
1909,Ethan,M,6
1910,Sarah,F,2173
1910,Elsie,F,2141
1910,Sara,F,633
1910,Lee,F,224
1910,Tina,F,58
1910,Edward,F,18
1910,Thomas,F,18
1910,Paul,F,9
1910,Adriana,F,6
1910,Edward,M,3407
1910,Thomas,M,2851
1910,Paul,M,2005
1910,Lee,M,741
1910,Daniel,M,692
1910,Alexander,M,324
1910,Alex,M,256
1910,Nicholas,M,235
1910,Ed,M,229
1910,Nick,M,124
1910,Alan,M,59
1910,Spencer,M,54
1910,Christian,M,40
1910,Tim,M,34
1910,Nolan,M,31
1910,Orlando,M,26
1910,Justin,M,18
1910,Elsie,M,16
1910,Gary,M,16
1910,Sarah,M,6
1911,Elsie,F,2224
1911,Sarah,F,2201
1911,Sara,F,687
1911,Lee,F,258
1911,Tina,F,59
1911,Thomas,F,23
1911,Paul,F,15
1911,Edward,F,11
1911,Adriana,F,9
1911,Christian,F,5
1911,Nolan,F,5
1911,Edward,M,4164
1911,Thomas,M,3292
1911,Paul,M,2393
1911,Daniel,M,796
1911,Lee,M,646
1911,Alexander,M,426
1911,Nicholas,M,308
1911,Alex,M,268
1911,Ed,M,164
1911,Nick,M,130
1911,Spencer,M,70
1911,Alan,M,55
1911,Christian,M,41
1911,Nolan,M,32
1911,Orlando,M,27
1911,Gary,M,25
1911,Justin,M,25
1911,Tim,M,23
1911,Elsie,M,15
1911,Sarah,M,9
1911,Ethan,M,7
1912,Sarah,F,2919
1912,Elsie,F,2895
1912,Sara,F,962
1912,Lee,F,312
1912,Tina,F,81
1912,Thomas,F,34
1912,Edward,F,27
1912,Paul,F,27
1912,Daniel,F,6
1912,Edward,M,7936
1912,Thomas,M,6087
1912,Paul,M,4785
1912,Daniel,M,1524
1912,Lee,M,1030
1912,Alexander,M,803
1912,Nicholas,M,676
1912,Alex,M,482
1912,Nick,M,248
1912,Ed,M,229
1912,Spencer,M,105
1912,Alan,M,102
1912,Christian,M,91
1912,Orlando,M,68
1912,Justin,M,67
1912,Nolan,M,62
1912,Gary,M,44
1912,Tim,M,36
1912,Ethan,M,16
1912,Sarah,M,16
1912,Elsie,M,11
1912,Dane,M,6
1913,Elsie,F,3209
1913,Sarah,F,3178
1913,Sara,F,1121
1913,Lee,F,294
1913,Tina,F,89
1913,Edward,F,42
1913,Thomas,F,36
1913,Paul,F,31
1913,Daniel,F,7
1913,Adriana,F,5
1913,Alexander,F,5
1913,Edward,M,9474
1913,Thomas,M,7096
1913,Paul,M,5966
1913,Daniel,M,1878
1913,Lee,M,1228
1913,Alexander,M,937
1913,Nicholas,M,796
1913,Alex,M,604
1913,Nick,M,310
1913,Ed,M,238
1913,Alan,M,158
1913,Spencer,M,124
1913,Christian,M,91
1913,Nolan,M,90
1913,Orlando,M,76
1913,Justin,M,60
1913,Gary,M,40
1913,Tim,M,37
1913,Elsie,M,16
1913,Ethan,M,13
1913,Sarah,M,10
1913,Dane,M,7
1913,Tanner,M,6
1914,Elsie,F,3683
1914,Sarah,F,3679
1914,Sara,F,1488
1914,Lee,F,405
1914,Tina,F,108
1914,Edward,F,48
1914,Thomas,F,48
1914,Paul,F,43
1914,Daniel,F,14
1914,Adriana,F,13
1914,Alexander,F,7
1914,Christian,F,5
1914,Edward,M,12319
1914,Thomas,M,8850
1914,Paul,M,7733
1914,Daniel,M,2325
1914,Lee,M,1451
1914,Alexander,M,1169
1914,Nicholas,M,1151
1914,Alex,M,789
1914,Nick,M,425
1914,Ed,M,286
1914,Alan,M,184
1914,Spencer,M,124
1914,Christian,M,122
1914,Nolan,M,108
1914,Orlando,M,101
1914,Justin,M,81
1914,Gary,M,59
1914,Tim,M,55
1914,Elsie,M,27
1914,Ethan,M,25
1914,Sarah,M,13
1914,Brandon,M,11
1914,Dane,M,11
1914,Ali,M,5
1915,Elsie,F,4967
1915,Sarah,F,4415
1915,Sara,F,1913
1915,Lee,F,445
1915,Tina,F,133
1915,Edward,F,53
1915,Thomas,F,46
1915,Paul,F,44
1915,Adriana,F,19
1915,Alex,F,11
1915,Alexander,F,11
1915,Ed,F,10
1915,Daniel,F,9
1915,Christian,F,7
1915,Gary,F,6
1915,Kristina,F,5
1915,Edward,M,15889
1915,Thomas,M,11490
1915,Paul,M,10328
1915,Daniel,M,3002
1915,Lee,M,1916
1915,Alexander,M,1432
1915,Nicholas,M,1427
1915,Alex,M,1008
1915,Nick,M,642
1915,Ed,M,321
1915,Alan,M,238
1915,Spencer,M,153
1915,Christian,M,151
1915,Orlando,M,146
1915,Justin,M,122
1915,Nolan,M,118
1915,Gary,M,79
1915,Tim,M,40
1915,Ethan,M,27
1915,Elsie,M,19
1915,Sarah,M,15
1915,Brandon,M,12
1915,Sara,M,9
1915,Dane,M,6
1915,Tanner,M,5
1916,Elsie,F,5027
1916,Sarah,F,4798
1916,Sara,F,1992
1916,Lee,F,475
1916,Tina,F,127
1916,Paul,F,50
1916,Thomas,F,49
1916,Edward,F,43
1916,Adriana,F,13
1916,Daniel,F,11
1916,Alexander,F,9
1916,Alex,F,8
1916,Nicholas,F,7
1916,Nolan,F,7
1916,Ed,F,6
1916,Christian,F,5
1916,Nick,F,5
1916,Edward,M,17005
1916,Thomas,M,11998
1916,Paul,M,10790
1916,Daniel,M,3149
1916,Lee,M,2016
1916,Alexander,M,1584
1916,Nicholas,M,1419
1916,Alex,M,1094
1916,Nick,M,656
1916,Ed,M,274
1916,Alan,M,251
1916,Spencer,M,169
1916,Christian,M,154
1916,Nolan,M,150
1916,Justin,M,123
1916,Orlando,M,121
1916,Gary,M,72
1916,Tim,M,56
1916,Elsie,M,23
1916,Ethan,M,23
1916,Sarah,M,19
1916,Brandon,M,16
1916,Dane,M,7
1916,Tanner,M,5
1917,Elsie,F,4939
1917,Sarah,F,4766
1917,Sara,F,2147
1917,Lee,F,479
1917,Tina,F,137
1917,Paul,F,62
1917,Edward,F,61
1917,Thomas,F,55
1917,Adriana,F,15
1917,Daniel,F,12
1917,Ed,F,10
1917,Christian,F,8
1917,Alex,F,7
1917,Gary,F,7
1917,Nicholas,F,6
1917,Alexander,F,5
1917,Nick,F,5
1917,Edward,M,17501
1917,Thomas,M,12611
1917,Paul,M,11156
1917,Daniel,M,3360
1917,Lee,M,2004
1917,Alexander,M,1664
1917,Nicholas,M,1412
1917,Alex,M,1081
1917,Nick,M,705
1917,Alan,M,310
1917,Ed,M,304
1917,Spencer,M,204
1917,Orlando,M,156
1917,Christian,M,149
1917,Nolan,M,149
1917,Justin,M,142
1917,Gary,M,72
1917,Tim,M,48
1917,Elsie,M,22
1917,Ethan,M,20
1917,Sarah,M,11
1917,Brandon,M,9
1917,Dane,M,9
1918,Elsie,F,5194
1918,Sarah,F,4969
1918,Sara,F,2295
1918,Lee,F,507
1918,Tina,F,128
1918,Paul,F,70
1918,Thomas,F,69
1918,Edward,F,63
1918,Daniel,F,19
1918,Ed,F,14
1918,Adriana,F,11
1918,Alex,F,8
1918,Alexander,F,7
1918,Gary,F,5
1918,Edward,M,19489
1918,Thomas,M,13910
1918,Paul,M,11755
1918,Daniel,M,3726
1918,Lee,M,2159
1918,Alexander,M,1591
1918,Nicholas,M,1488
1918,Alex,M,1207
1918,Nick,M,761
1918,Alan,M,333
1918,Ed,M,333
1918,Spencer,M,210
1918,Orlando,M,184
1918,Christian,M,155
1918,Justin,M,144
1918,Nolan,M,132
1918,Gary,M,74
1918,Tim,M,67
1918,Elsie,M,27
1918,Ethan,M,25
1918,Dane,M,17
1918,Brandon,M,15
1918,Sarah,M,14
1918,Sara,M,5
1918,Tanner,M,5
1919,Sarah,F,5022
1919,Elsie,F,4995
1919,Sara,F,2171
1919,Lee,F,484
1919,Tina,F,120
1919,Thomas,F,66
1919,Edward,F,65
1919,Paul,F,59
1919,Adriana,F,12
1919,Daniel,F,10
1919,Alexander,F,7
1919,Ed,F,7
1919,Gary,F,7
1919,Nicholas,F,7
1919,Nick,F,6
1919,Alex,F,5
1919,Valoris,F,5
1919,Edward,M,18536
1919,Thomas,M,13434
1919,Paul,M,11305
1919,Daniel,M,3526
1919,Lee,M,2189
1919,Alexander,M,1422
1919,Nicholas,M,1321
1919,Alex,M,1082
1919,Nick,M,682
1919,Alan,M,330
1919,Ed,M,327
1919,Orlando,M,230
1919,Spencer,M,160
1919,Justin,M,156
1919,Nolan,M,149
1919,Christian,M,125
1919,Gary,M,82
1919,Tim,M,57
1919,Ethan,M,28
1919,Elsie,M,21
1919,Brandon,M,11
1919,Sarah,M,11
1919,Dane,M,10
1919,Sara,M,9
1920,Sarah,F,5031
1920,Elsie,F,4993
1920,Sara,F,2364
1920,Lee,F,543
1920,Tina,F,127
1920,Thomas,F,82
1920,Paul,F,75
1920,Edward,F,64
1920,Daniel,F,18
1920,Adriana,F,13
1920,Alex,F,11
